iter	Passed	Remaining
0	3	3140
1	3	1892
2	4	1481
3	5	1259
4	5	1155
5	6	1068
6	7	1031
7	8	1094
8	11	1226
9	12	1196
10	12	1155
11	13	1111
12	14	1072
13	14	1044
14	15	1014
15	16	1035
16	17	1029
17	18	1015
18	19	1001
19	20	1003
20	21	995
21	22	1012
22	23	1004
23	24	990
24	25	976
25	25	960
26	26	958
27	27	952
28	28	939
29	28	926
30	29	913
31	29	905
32	31	917
33	31	909
34	32	901
35	33	894
36	34	896
37	35	889
38	35	881
39	36	879
40	37	872
41	38	881
42	39	874
43	39	867
44	40	863
45	41	863
46	42	857
47	42	851
48	43	845
49	44	840
50	46	856
51	46	852
52	47	847
53	48	844
54	49	844
55	49	840
56	50	835
57	51	832
58	52	832
59	53	832
60	53	829
61	54	828
62	55	824
63	55	818
64	56	815
65	57	810
66	57	806
67	58	802
68	59	799
69	59	795
70	60	791
71	61	788
72	61	785
73	62	781
74	63	778
75	63	774
76	64	773
77	65	770
78	66	770
79	66	768
80	67	764
81	68	762
82	68	757
83	69	753
84	69	751
85	70	749
86	71	746
87	71	743
88	73	752
89	74	750
90	75	752
91	75	750
92	76	746
93	77	743
94	77	741
95	78	739
96	79	737
97	80	739
98	81	738
99	81	736
100	82	734
101	83	731
102	83	730
103	84	728
104	85	726
105	85	725
106	86	723
107	88	733
108	89	732
109	90	731
110	91	730
111	92	729
112	94	739
113	95	740
114	95	738
115	96	736
116	97	733
117	97	733
118	102	765
119	105	778
120	108	796
121	110	803
122	111	802
123	113	804
124	120	850
125	128	897
126	134	934
127	135	932
128	155	1057
129	159	1072
130	159	1068
131	163	1080
132	165	1084
133	165	1080
134	166	1075
135	186	1191
136	188	1198
137	189	1193
138	202	1266
139	203	1261
140	210	1289
141	210	1281
142	211	1275
143	214	1285
144	215	1281
145	216	1275
146	221	1296
147	223	1294
148	224	1291
149	233	1334
150	235	1332
151	236	1327
152	237	1322
153	238	1316
154	241	1324
155	242	1318
156	242	1312
157	246	1319
158	263	1401
159	264	1398
160	265	1390
161	270	1407
162	277	1434
163	278	1426
164	278	1418
165	279	1410
166	279	1403
167	280	1397
168	311	1540
169	314	1546
170	315	1540
171	318	1543
172	320	1542
173	329	1575
174	334	1583
175	335	1578
176	342	1599
177	344	1601
178	346	1597
179	347	1590
180	347	1582
181	349	1581
182	350	1572
183	350	1564
184	351	1555
185	351	1547
186	352	1538
187	352	1530
188	356	1537
189	357	1530
190	357	1524
191	359	1519
192	360	1513
193	360	1506
194	392	1628
195	393	1623
196	399	1634
