iter	Passed	Remaining
0	0	60
1	1	51
2	1	48
3	1	44
4	2	44
5	2	43
6	3	42
7	3	40
8	4	40
9	4	40
10	4	39
11	5	38
12	5	38
13	6	37
14	6	37
15	7	36
16	7	37
17	8	36
18	8	36
19	8	35
20	9	35
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	32
27	12	31
28	14	34
29	14	33
30	15	34
31	15	33
32	16	32
33	16	32
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	27
41	19	27
42	20	26
43	20	26
44	20	25
45	21	24
46	21	24
47	22	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	29	17
62	29	17
63	30	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	45	6
88	45	5
89	46	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	49	0
99	50	0
